ID,GSM170556,GSM170557,GSM170558,GSM170559,GSM170560,GSM170561,GSM170562,GSM170564,GSM170550,GSM170551,GSM170552,GSM170553,GSM170554,GSM170555,GSM170563
RYR2,8.149733573,7.785408437,7.212809249,7.195960554,6.777019247,6.802307361,6.876997601,7.435729731,6.238512762,6.427873078,6.413708368,6.34893171,6.050606029,6.235041285,6.032845955
IRF4,6.112584907,6.142543051,6.259140052,6.434039354,6.344634421,6.410243515,6.276444667,6.359636049,8.698055469,7.137584352,7.88248573,7.219195244,6.673668984,7.324466927,7.468180693
MMP9,7.120298968,6.238608932,7.04843961,7.048925038,8.674502882,7.324077641,9.5438812,7.176382837,11.17580353,9.873798585,13.07492504,11.73798155,14.1173444,8.300072787,12.45136286
DDIT4,11.45947773,11.44315698,10.38697915,11.20124431,11.28090918,11.56109736,11.06326744,10.65092037,9.512166694,8.66537815,9.201061766,10.72431744,7.695850868,9.8333566,9.417032962
TAP1,9.272936196,9.509470271,9.038836247,9.496065488,9.454306149,8.981621018,8.805539742,9.626235422,10.94948832,9.376798328,10.05816779,11.17903324,10.26779584,10.58508407,10.65190438
MYH11,14.20877288,14.44433173,14.44433173,14.14871066,13.87071469,13.93004428,14.02140512,14.0425829,10.35570109,12.98452369,11.73334276,12.28273574,7.183797133,8.643867796,11.20374299
LOX,9.235466199,8.238116697,8.025985105,8.348529291,8.355419169,7.949236578,7.71588364,8.200156309,6.826515269,6.942186652,7.650132368,7.60569927,6.590031102,7.509103728,7.093124691
GJA1,11.4176101,11.19927031,10.746729,10.03494988,11.0735208,10.1475561,9.366167298,10.68587736,8.984780915,7.97831562,10.19395842,8.932002161,7.843330121,8.096813211,8.999148277
SOST,8.538852625,10.465699,6.192947148,9.613727253,8.20418145,8.16814906,7.328009306,9.520908173,6.208519601,5.867681691,5.838242847,6.176391661,6.224675354,6.032877685,6.193833891
PDGFRA,9.331227935,10.75988087,9.682375133,10.46335214,9.994666423,9.624800694,9.423905222,9.959066774,8.336449729,9.10733845,9.037979066,8.140351536,6.32125815,6.459105117,7.969212764
DAG1,9.78917578,9.88591454,9.119253969,9.728917294,9.743998806,9.406583806,8.913659566,9.43922141,8.204738389,9.146668288,9.000210096,8.912541757,7.697695527,8.033130086,8.311669311
COL6A2,11.80741114,11.95986171,11.48019297,12.25598341,11.82822516,11.63014157,11.42358885,11.68857711,9.914722312,10.97947969,11.54042507,10.92700004,9.795350167,8.761289957,10.04798043
ACTA2,15.11144109,14.95012208,15.11144109,14.32271732,14.95012208,15.11144109,14.95012208,14.95012208,12.40151974,14.1173444,14.0425829,13.75606144,10.14008191,12.03995104,13.09501488
MGP,14.84922904,14.78967333,14.95012208,14.84922904,14.78967333,14.95012208,14.70731732,14.78967333,12.33561504,14.32271732,13.44974758,13.62985072,9.668589444,10.8742402,12.93286483
LEP,6.714367954,6.329697749,6.473877916,6.40341078,6.59763317,6.399965497,7.207817644,6.372275693,6.62753763,8.041320594,6.460534585,7.989703082,8.120633005,8.104730097,7.866006247
SLC2A10,8.854963313,9.128457276,8.556849438,8.681299539,9.168471397,8.47946421,7.855074646,8.783442248,7.870107395,8.293046096,8.507637547,7.682038555,6.472134062,6.897919954,7.447031437
EFEMP2,9.920955713,10.0612873,9.743173303,9.37981555,10.63272658,10.15702097,9.930924311,10.0182066,8.700125019,9.875970051,9.591987898,9.335681247,7.451521052,8.156062734,8.706399778
TNFAIP3,8.201889381,7.973384622,8.036810273,10.16533257,8.3379537,8.462657406,8.215295484,9.426735371,10.96652252,8.945260761,10.43093367,10.66402529,8.642484737,10.23250342,10.08296583
ENPP1,8.424838158,8.102203813,8.564348315,8.358800891,8.607635331,7.860913503,8.088371594,7.659827443,6.884955864,7.031387513,9.084420429,7.311137988,6.262050859,6.325173091,6.441612762
GATA6,8.904889272,9.982770355,9.449912239,9.072976487,9.620639558,8.802934627,7.66407758,9.114049856,8.60339668,8.362278712,8.609261005,9.554199092,6.183103359,6.471230389,8.015215542
FOS,10.31557206,9.161299313,13.62985072,11.63854512,10.99381162,12.22796402,10.75501997,11.13023634,13.12923324,12.96528082,13.15318192,11.96436285,11.89671642,11.32899873,12.21824237
HLA-DQA1,8.814989535,6.349603831,9.825145024,8.8299886,6.257356009,8.543588936,10.6691582,8.887945589,12.24828112,9.727439476,12.70885448,10.74392862,11.65213246,11.20374299,11.23460499
GRIA2,8.092689602,8.2609432,7.436095194,7.44766355,7.169893689,8.00761376,7.511219678,7.763061504,6.30420695,6.332160883,6.404265537,6.223210017,6.370415015,6.357487023,6.246411508
