id	logFC	AveExpr	t	P.Value	adj.P.Val	B
C6orf117	-3.88631783928571	8.62216013333333	-17.7786041878178	1.29505196008638e-11	5.73345403769443e-07	16.3195416349854
PDE8B	-2.17842103571429	7.48959926666667	-16.4848371201763	3.88760099351579e-11	7.40784769037888e-07	15.3973710259573
MGC1136	-2.24056782142857	8.04299393333333	-16.036805420369	5.79317871170565e-11	7.40784769037888e-07	15.0561259133943
IL10RA	1.75109078571428	7.6369802	15.7136091927493	7.77310068758027e-11	7.40784769037888e-07	14.8024796384726
DOCK2	1.98117182142857	8.9614066	15.3925584504217	1.04655245662286e-10	7.40784769037888e-07	14.5440770101742
IGSF6	1.77854160714286	7.61670633333333	15.3259725014586	1.11390771802183e-10	7.40784769037888e-07	14.489661149264
RAMP1	-3.04531307142857	9.4744044	-15.2725422500707	1.17128057988463e-10	7.40784769037888e-07	14.4457889105917
my048	-3.90492657142857	8.70144593333333	-14.8773019457599	1.70661303757334e-10	9.07554892444076e-07	14.1154098609885
PLN	-3.49858773214286	8.7468196	-14.7965929062931	1.84495709071121e-10	9.07554892444076e-07	14.0466569357289
FLJ12287	2.019701125	7.89558806666667	14.5928271178464	2.2499677107273e-10	9.96105704893191e-07	13.8710860822424
CSK	1.99407794642857	7.92589833333333	14.3606104881393	2.82939038632214e-10	1.13875246530231e-06	13.6674615343425
ADH5	-2.31739416071428	10.0023932666667	-14.1829093465342	3.37907519847538e-10	1.24665347655752e-06	13.5090385718233
CD83	3.026362875	8.9764268	13.8133138189597	4.91909302537051e-10	1.67521604937849e-06	13.1721148844961
CKMT2	-2.12470919642858	8.15245166666667	-13.6373757517807	5.89990043652496e-10	1.86571708661309e-06	13.008115991513
MTA3	-1.04142726785714	7.73687673333333	-13.5361677329846	6.55636265146274e-10	1.93508858203706e-06	12.9126955672069
HSPB7	-3.12337601785714	8.8533274	-13.4312378489043	7.31942110929001e-10	2.02528382094055e-06	12.8129216120192
PCDH7	-1.93494623214286	7.65480346666667	-13.3235631376656	8.20113315051398e-10	2.07918012803422e-06	12.7096338867016
NPR1	-1.99015191071428	7.96960206666667	-13.2949981502628	8.45347901712502e-10	2.07918012803422e-06	12.6820777460259
CCL3L1	3.208205	8.65571533333333	13.1714796769454	9.64331006100666e-10	2.24699275274151e-06	12.5621666111555
GLRB	-1.25180358928572	7.37657686666667	-12.9085596491052	1.28082743632334e-09	2.83523961304535e-06	12.3027801095755
LOC148530	-1.35041698214286	7.64579253333333	-12.7459986605021	1.53026691212712e-09	3.21831053918316e-06	12.1395259245571
KCNA5	-3.57249835714286	8.3600966	-12.7059721808242	1.59926888015065e-09	3.21831053918316e-06	12.0989856725171
RABGAP1	-1.24630167857143	9.7514048	-12.646510456306	1.70792928349133e-09	3.287541097336e-06	12.038508034954
BTK	1.945937875	7.77405546666667	12.6045718233301	1.78925739850691e-09	3.30058348111241e-06	11.9956703064665
PGRMC1	-1.14662155357143	8.85745906666667	-12.4729205461664	2.07233227189487e-09	3.38091006849381e-06	11.8602072221009
MGC16491	-2.06551226785714	7.9334804	-12.408865002203	2.22688647787563e-09	3.38091006849381e-06	11.7937495938884
LCP2	2.03955141071429	8.54846053333333	12.3934845061055	2.26578558680981e-09	3.38091006849381e-06	11.7777385672292
DEF6	1.99356258928572	7.73106933333333	12.3780224312607	2.30561744065004e-09	3.38091006849381e-06	11.7616215604776
MX2	1.72195535714286	7.97264066666667	12.3741379625226	2.31574037488557e-09	3.38091006849381e-06	11.7575692336309
MPEG1	2.52386542857143	8.46216586666667	12.3042076153423	2.50626441302847e-09	3.46741681542489e-06	11.6843880620789
DSTN	-2.66451592857143	12.5908037333333	-12.2728303224727	2.59708558616407e-09	3.48418706274715e-06	11.6514106157368
KIAA0053	1.99126283928571	7.93396486666667	12.2372652992716	2.70426030326931e-09	3.52126506312761e-06	11.613925346912
CRTAP	-1.41599271428572	8.6308464	-12.1237030012348	3.07900150413867e-09	3.79581709582722e-06	11.4934687729919
AMICA	2.32721071428571	8.63140566666667	12.1215580375048	3.08658780831632e-09	3.79581709582722e-06	11.4911823503037
CCL4	3.15545944642857	8.89380486666667	12.0686215014353	3.28022699560989e-09	3.92492458242273e-06	11.4346218206991
PFN2	-2.09319914285714	8.62317473333333	-11.9022914871691	3.97702031134813e-09	4.44888520364391e-06	11.2552296904497
FBLP-1	-2.27286419642857	8.87059366666667	-11.872596334832	4.11711745874576e-09	4.44888520364391e-06	11.2229327148341
PIK3CD	1.96667760714286	8.95650413333333	11.8703417873969	4.12796540915262e-09	4.44888520364391e-06	11.2204772658619
HLA-DMB	2.09322141071429	10.8400245333333	11.8357871574844	4.29806936011867e-09	4.44888520364391e-06	11.1827839621238
TNFRSF18	1.57350505357143	7.32423773333333	11.8312278346258	4.32106215568956e-09	4.44888520364391e-06	11.1778021468802
HEM1	2.50085708928571	8.26722826666667	11.7920142869092	4.52427869836919e-09	4.55224696668638e-06	11.13487416583
UCP2	2.57621541071429	9.12690373333333	11.7030172901111	5.02398267978135e-09	4.94270580442845e-06	11.0369081217749
ARHGAP9	2.24242314285714	8.83217713333333	11.6447235962897	5.3827319077396e-09	5.03480357894283e-06	10.9723313057479
PPP1R3C	-4.31063201785714	9.8661846	-11.6381650664369	5.4247596403068e-09	5.03480357894283e-06	10.9650455306106
NAP1L5	-1.22903248214286	7.94835513333333	-11.6328972523923	5.4587678846507e-09	5.03480357894283e-06	10.9591906058193
